Metabolite	Imbalance	Charge	Formula	Comments
glytrna	GLYTRS	1	C2H4NOR	Override charge, reference table inconsistent with iJO1366
histrna	HISTRS	1	C6H8N3OR	Override charge, reference table inconsistent with iJO1366
iletrna	ILETRS	1	C6H12NOR	Override charge, reference table inconsistent with iJO1366
leutrna	LEUTRS	1	C6H12NOR	Override charge, reference table inconsistent with iJO1366
lystrna	LYSTRS	2	C6H14N2OR	Override charge, reference table inconsistent with iJO1366
mettrna	FMETTRS	1	C5H10NOSR	Override charge, reference table inconsistent with iJO1366
phetrna	PHETRS	1	C9H10NOR	Override charge, reference table inconsistent with iJO1366
protrna	PROTRS	1	C5H8NOR	Override charge, reference table inconsistent with iJO1366
sertrna	SERTRS	1	C3H6NO2R	Override charge, reference table inconsistent with iJO1366
thrtrna	THRTRS	1	C4H8NO2R	Override charge, reference table inconsistent with iJO1366
trptrna	TRPTRS	1	C11H11N2OR	Override charge, reference table inconsistent with iJO1366
tyrtrna	TYRTRS	1	C9H10NO2R	Override charge, reference table inconsistent with iJO1366
valtrna	VALTRS	1	C5H10NOR	Override charge, reference table inconsistent with iJO1366
sectrna	SELCYSS	1	C3H6NOSeR	Override charge, reference table inconsistent with iJO1366
forglu	IZPN	-2	C6H8N2O4	Override charge, reference table has -1, which is for a protonated form
abt__D	ABTDG	0	C5H12O5	Updated both, differently labeled in reference table as abt-D
arab__D	DARBt3ipp	0	C5H10O5	Updated both, differently labeled in reference table as arab-D
tag1p__D	TAG1PK	-2	C6H11O9P	Updated both, differently labeled in reference table as tag1p-D
cmpacna	ACNMCT	-2	C20H29N4O16P	Updated both, differently labeled in reference table as cmp-nate
sertrna_sec	SELCYSS	1	C3H6NO2R	Updated both, differently labeled in reference table as sertrna_LSQBKT_sec_RSQBKT
scys__L	SLCYSS	-1	C3H6NO5S2	Updated both, differently labeled in reference table as slcys
copre2	DSCLCOCH	-7	C42H39CoN4O16	Updated both, differently labeled in reference table as codscl2
2ameph	-	-1	C2H7NO3P	Updated both, differently labeled in reference table as AEP (adjusted charge to match BiGG)
lipidA_core_e	-	0	C68H126N2O23P2	Updated both, differently labeled in reference table as lipidA_core
